Location,Plate,Drug,conc (nM),pMEK,pERK,p-c-Jun,BCA
"92(1,D12)",1,U0126,0,177,16,20,0.12
"93(1,E12)",1,U0126,0,192,12.5,17,0.124
"94(1,F12)",1,U0126,0,165,16,18,0.124
"1(1,A1)",2,R428,3,18,14,18.5,0.181
"2(1,B1)",2,R428,3,18,16,18,0.196
"3(1,C1)",2,R428,3,16,16,23,0.195
"4(1,D1)",2,Erlotinib,10,96.5,14,15.5,0.188
"5(1,E1)",2,Erlotinib,10,17,15,21,0.171
"6(1,F1)",2,Erlotinib,10,16.5,15,20,0.189
"7(1,G1)",2,buffer,0,21,19,18,0.07
"9(1,A2)",2,R428,2,16,13,17,0.192
"10(1,B2)",2,R428,2,19,11,17.5,0.188
"11(1,C2)",2,R428,2,19,13,18.5,0.189
"12(1,D2)",2,Erlotinib,5,18,10,18,0.185
"13(1,E2)",2,Erlotinib,5,15,16,19.5,0.181
"14(1,F2)",2,Erlotinib,5,16,13.5,19,0.192
"15(1,G2)",2,buffer,0,17,16,17,0.07
"17(1,A3)",2,R428,1.333,21,15,18.5,0.196
"18(1,B3)",2,R428,1.333,21.5,14,19,0.185
"19(1,C3)",2,R428,1.333,17,8,14.5,0.184
"20(1,D3)",2,Erlotinib,2.5,16.5,14,20,0.194
"21(1,E3)",2,Erlotinib,2.5,13,15.5,22,0.186
"22(1,F3)",2,Erlotinib,2.5,16,14,19,0.198
"23(1,G3)",2,buffer,0,17,15,17,0.07
"25(1,A4)",2,R428,0.889,24,14.5,21,0.185
"26(1,B4)",2,R428,0.889,26.5,14,18,0.175
"27(1,C4)",2,R428,0.889,24,12,20,0.194
"28(1,D4)",2,Erlotinib,1.25,14,13,20,0.189
"29(1,E4)",2,Erlotinib,1.25,15,15,21,0.179
"30(1,F4)",2,Erlotinib,1.25,15.5,14,19.5,0.187
"33(1,A5)",2,R428,0.593,47.5,10,16,0.203
"34(1,B5)",2,R428,0.593,50,15,26,0.168
"35(1,C5)",2,R428,0.593,97,12.5,24,0.146
"36(1,D5)",2,Erlotinib,0.625,15,13,19.5,0.177
"37(1,E5)",2,Erlotinib,0.625,14,15,21,0.181
"38(1,F5)",2,Erlotinib,0.625,17,13,21.5,0.184
"41(1,A6)",2,R428,0.395,31,10,17,0.187
"42(1,B6)",2,R428,0.395,46,12.5,22,0.201
"43(1,C6)",2,R428,0.395,64.5,14,20,0.19
"44(1,D6)",2,Erlotinib,0.313,16,14.5,21.5,0.185
"45(1,E6)",2,Erlotinib,0.313,15.5,14,23,0.177
"46(1,F6)",2,Erlotinib,0.313,20,11.5,17.5,0.158
"49(1,A7)",2,R428,0.263,75,12,22,0.194
"50(1,B7)",2,R428,0.263,66,12,18.5,0.185
"51(1,C7)",2,R428,0.263,62,11,19,0.191
"52(1,D7)",2,Erlotinib,0.156,18,11,16,0.173
"53(1,E7)",2,Erlotinib,0.156,15,14,19,0.181
"54(1,F7)",2,Erlotinib,0.156,15,10,16,0.188
"57(1,A8)",2,R428,0.176,107.5,12,19.5,0.185
"58(1,B8)",2,R428,0.176,37,11,17,0.198
"59(1,C8)",2,R428,0.176,88,16.5,24,0.192
"60(1,D8)",2,Erlotinib,0.078,16,9.5,20.5,0.178
"61(1,E8)",2,Erlotinib,0.078,13,12.5,19,0.16
"62(1,F8)",2,Erlotinib,0.078,19,10,15,0.194
"65(1,A9)",2,R428,0.117,150.5,14,17,0.141
"66(1,B9)",2,R428,0.117,156,15,17,0.175
"67(1,C9)",2,R428,0.117,184,14.5,43,0.149
"68(1,D9)",2,Erlotinib,0.039,15,16,24,0.184
"69(1,E9)",2,Erlotinib,0.039,16,12,19,0.186
"70(1,F9)",2,Erlotinib,0.039,15,11,22,0.178
"73(1,A10)",2,R428,0.078,97,13,17.5,0.182
"74(1,B10)",2,R428,0.078,181,15,23,0.217
"75(1,C10)",2,R428,0.078,153,15,32.5,0.165
"76(1,D10)",2,Erlotinib,0.02,15.5,14,23,0.178
"77(1,E10)",2,Erlotinib,0.02,16,13,22,0.188
"78(1,F10)",2,Erlotinib,0.02,17,12,24,0.205
"81(1,A11)",2,R428,0.052,167,15.5,26,0.182
"82(1,B11)",2,R428,0.052,155,12,24,0.192
"83(1,C11)",2,R428,0.052,104,11,20,0.188
"84(1,D11)",2,Erlotinib,0.01,26,11,17,0.183
"85(1,E11)",2,Erlotinib,0.01,20,13,23,0.18
"86(1,F11)",2,Erlotinib,0.01,18,12,20,0.175
"89(1,A12)",2,R428,0,142,13,27.5,0.176
"90(1,B12)",2,R428,0,205,17,32,0.19
"91(1,C12)",2,R428,0,90,11,19,0.187
"92(1,D12)",2,Erlotinib,0,151.5,15,23,0.193
"93(1,E12)",2,Erlotinib,0,178,15,28.5,0.197
"94(1,F12)",2,Erlotinib,0,110,15,22,0.204
