Date Time,Elapsed,Control,R 1,Eto 0.2 uM,Gem 1.25 nM,Eto 1 uM,Gem 2.5 nM,Eto 2 uM,Gem 5 nM,Eto 4 uM,Gem 10 nM,Eto 8 uM,Gem 20 nM,Eto 0.2 uM,Gem 1.25 nM,Eto 1 uM,Gem 2.5 nM,Eto 2 uM,Gem 5 nM,Eto 4 uM,Gem 10 nM,,
3/5/17 9:00,45,24.81,26.49,31.83,25.79,20.87,20.75,17.99,14.23,12.74,10.75,10.61,13.88,23.58,22.26,17.13,17.69,14.01,13.20,14.27,11.17,,
3/5/17 10:07,46.11666667,29.96,33.29,40.26,30.51,26.66,26.94,21.52,19.24,16.73,13.89,12.63,17.23,32.08,26.99,22.65,22.26,19.67,18.02,18.86,14.72,,
3/5/17 12:00,48,32.75,35.09,41.30,32.24,27.16,28.71,22.40,20.44,15.66,13.93,13.55,16.34,31.73,28.61,22.27,24.55,19.77,17.61,18.33,16.05,,
3/5/17 15:00,51,33.80,40.20,40.96,32.81,27.69,27.43,22.34,18.47,16.59,13.05,13.68,15.87,31.69,29.96,22.30,22.96,18.94,16.21,17.90,16.29,,
3/5/17 18:00,54,37.48,40.18,47.21,37.49,29.35,29.61,23.02,19.81,17.48,13.93,14.73,17.20,36.90,32.69,23.65,25.53,19.98,18.17,21.02,15.82,,
3/5/17 21:00,57,36.99,37.43,46.61,36.76,29.44,27.32,22.41,18.00,16.24,12.24,13.60,15.47,34.57,28.84,23.93,23.34,20.18,16.14,19.02,14.66,,
3/6/17 0:00,60,41.47,41.54,48.28,41.91,31.03,28.83,23.56,19.21,16.14,12.83,13.67,15.45,38.81,34.42,24.87,24.34,18.39,17.11,18.24,14.26,,
3/6/17 3:00,63,43.82,46.82,52.86,42.91,34.23,33.21,24.72,19.23,17.26,13.44,13.78,16.10,41.13,42.33,25.96,26.30,19.68,17.44,16.63,15.71,,
3/6/17 6:00,66,46.74,50.75,59.01,48.57,35.26,35.04,24.80,20.37,17.67,13.55,14.87,17.42,45.60,37.69,26.71,27.55,21.12,18.76,18.19,15.57,,
3/6/17 9:00,69,53.07,54.26,66.52,49.43,39.53,36.46,26.86,20.99,19.22,14.41,15.53,16.71,51.49,49.69,27.14,30.91,20.96,20.07,18.44,16.39,,
3/6/17 12:00,72,66.35,67.63,71.89,65.16,46.74,48.89,30.67,27.51,22.22,18.50,18.38,19.39,61.40,59.52,35.96,40.10,25.86,25.79,20.84,18.41,,
3/3/17 12:00,0,5.95,5.99,7.42,6.05,7.30,5.93,8.07,6.87,6.09,5.08,7.03,6.53,6.25,6.37,6.04,6.21,7.88,7.43,5.31,5.65,,
3/3/17 15:00,3,6.66,6.82,8.47,6.94,8.03,6.88,9.38,7.94,6.51,5.55,8.13,7.82,7.15,7.01,6.98,6.74,8.86,7.99,5.94,6.57,,
3/3/17 18:00,6,8.96,8.88,10.54,8.59,9.65,8.78,10.59,9.94,8.21,7.73,9.47,9.71,8.77,8.02,8.45,8.33,10.49,9.43,7.26,7.79,,
3/3/17 21:00,9,9.31,9.51,10.59,8.87,10.35,9.23,11.08,9.87,8.21,7.95,9.93,9.88,8.83,8.94,8.59,8.42,10.07,9.78,7.32,8.13,,
3/4/17 0:00,12,10.04,9.79,11.99,9.82,11.36,10.52,12.12,10.94,8.65,8.00,10.34,10.46,10.29,10.10,9.28,9.28,11.45,10.43,7.88,8.38,,
3/4/17 3:00,15,11.53,11.86,13.10,10.74,11.57,10.52,13.04,11.69,9.75,9.34,11.24,10.89,11.14,10.28,9.17,9.41,11.89,11.28,8.35,8.97,,
3/4/17 6:00,18,12.75,12.34,14.88,12.33,13.03,11.47,13.61,12.44,9.68,9.33,11.69,10.99,12.77,10.72,11.00,9.84,12.77,12.14,8.89,9.18,,
3/4/17 9:00,21,13.83,14.14,16.68,12.87,13.97,12.39,15.03,12.76,10.16,9.87,13.08,11.26,14.01,12.18,11.29,10.70,13.32,12.98,9.78,10.11,,
3/4/17 12:00,24,14.71,13.27,16.13,13.03,13.48,11.36,12.80,12.10,9.80,8.60,10.67,9.52,12.41,11.76,10.89,10.30,11.82,10.91,8.04,8.17,,
3/4/17 15:00,27,16.25,15.85,18.84,14.91,16.98,13.13,14.36,12.78,10.74,9.65,10.83,12.24,14.83,14.54,12.81,11.75,13.80,12.44,9.45,9.38,,
3/4/17 18:00,30,17.15,17.54,19.31,15.78,16.67,13.23,15.13,13.80,10.10,10.52,11.63,11.83,15.97,14.03,13.01,12.09,13.90,13.70,9.43,9.00,,
3/4/17 21:00,33,19.74,17.66,19.19,16.39,17.49,13.19,15.31,13.51,10.34,9.82,11.64,11.24,16.52,13.65,13.49,11.53,13.75,13.20,9.46,9.24,,
3/5/17 0:00,36,20.80,20.05,20.84,18.64,20.52,14.44,15.96,13.92,10.52,9.90,10.75,11.32,16.97,15.70,15.08,12.52,14.85,13.09,9.33,9.37,,
3/5/17 3:00,39,22.65,20.72,23.89,19.19,22.07,15.09,17.56,14.51,11.21,10.29,12.00,11.49,18.51,15.60,15.84,13.82,16.18,13.54,9.83,10.17,,
3/5/17 6:00,42,24.63,23.00,26.03,20.41,23.73,15.72,19.61,15.45,11.58,10.71,12.05,12.87,20.23,17.16,16.00,14.16,16.39,14.01,11.00,10.30,,
3/5/17 9:00,45,26.51,26.59,28.16,21.10,25.09,16.86,18.84,15.93,11.70,10.55,12.88,12.33,22.53,19.55,17.18,15.34,17.51,14.96,11.30,11.22,,
3/5/17 10:07,46.11666667,32.83,29.56,34.75,26.29,30.33,23.06,24.07,19.15,15.32,13.77,15.42,17.22,28.46,27.69,22.40,19.14,22.82,18.45,13.72,13.66,,
3/5/17 12:00,48,35.48,34.88,38.79,29.49,30.54,24.87,24.32,20.41,15.02,13.93,15.54,16.98,31.18,27.19,23.66,20.46,24.79,20.01,15.89,13.37,,
3/5/17 15:00,51,34.99,34.45,36.62,28.35,32.07,25.04,24.54,19.79,15.51,13.47,16.31,16.35,32.36,26.96,22.25,20.38,23.27,20.41,14.89,13.89,,
3/5/17 18:00,54,40.05,37.57,42.29,32.24,35.19,25.89,25.45,19.73,16.83,14.05,16.77,15.90,33.89,28.86,24.41,21.47,24.67,20.52,15.81,14.36,,
3/5/17 21:00,57,40.99,36.71,40.42,30.33,33.29,24.53,24.28,17.62,15.51,13.03,16.01,13.90,34.11,29.40,23.45,20.65,22.27,18.85,15.21,12.98,,
3/6/17 0:00,60,42.38,42.21,43.53,32.56,39.30,27.18,25.20,19.67,17.12,12.94,16.40,14.98,34.05,28.93,24.83,22.30,22.50,20.13,14.33,13.95,,
3/6/17 3:00,63,48.86,46.69,50.90,35.47,41.11,26.35,26.23,21.51,17.53,13.10,16.38,14.77,37.29,35.39,26.00,23.08,21.87,20.19,15.83,13.80,,
3/6/17 6:00,66,51.17,51.77,54.37,40.05,42.51,29.22,27.96,21.06,17.33,12.91,16.85,14.21,39.43,39.75,29.58,22.49,23.98,21.24,15.45,13.50,,
3/6/17 9:00,69,54.71,57.46,54.04,45.74,47.13,33.51,27.82,22.38,18.95,13.87,17.67,16.09,48.48,42.16,28.88,25.01,23.78,22.47,16.56,14.42,,
3/6/17 12:00,72,66.55,67.14,70.83,54.09,52.03,41.38,33.12,28.96,22.24,16.55,20.13,19.49,54.85,54.39,35.13,33.30,32.11,27.78,18.56,16.79,,
,,,,,,,,,,,,,,,,,,,,,,,
